         9x3.9SFR                 (9x39SFR.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 12/12/2023                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       22.68      0.3802      0.3645      0.0080      0.0084       0.014       0.123       0.082      10.203       0.014       0.367       3.665        0.25      68426.    0.0686  
       23.56      0.3949      0.2895      0.0054      0.0074       0.012       0.108       0.055       8.978       0.012       0.247       2.803        0.25      68494.    0.0430  
       24.43      0.4095      0.1775      0.0027      0.0063       0.010       0.093       0.028       7.687       0.010       0.125       1.657        0.25      68564.    0.0181  
       25.30      0.4241      0.0020      0.0000      0.0052       0.008       0.076       0.000       6.328       0.009       0.001       0.018        0.25      68636.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       8000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0544      0.0182       0.044       0.349       0.728      32.994       0.039       3.238      10.008        0.29      76938.    0.5567  
        1.00      0.0146      0.0430      0.0536      0.0182       0.044       0.349       0.717      33.059       0.039       3.188       9.833        0.29      76962.    0.5427  
        1.99      0.0293      0.0844      0.0527      0.0182       0.044       0.350       0.705      33.100       0.040       3.134       9.655        0.29      76988.    0.5284  
        2.99      0.0439      0.1243      0.0517      0.0183       0.044       0.350       0.692      33.112       0.040       3.076       9.474        0.29      77016.    0.5137  
        3.99      0.0585      0.1625      0.0506      0.0182       0.044       0.350       0.678      33.091       0.039       3.015       9.290        0.29      77045.    0.4986  
        4.99      0.0731      0.1990      0.0495      0.0182       0.044       0.349       0.663      33.030       0.039       2.949       9.103        0.29      77076.    0.4832  
        5.98      0.0878      0.2339      0.0484      0.0181       0.044       0.348       0.647      32.925       0.039       2.878       8.914        0.29      77109.    0.4675  
        6.98      0.1024      0.2670      0.0471      0.0181       0.044       0.346       0.630      32.772       0.039       2.803       8.723        0.29      77144.    0.4515  
        7.98      0.1170      0.2984      0.0458      0.0179       0.044       0.344       0.612      32.563       0.039       2.723       8.529        0.29      77181.    0.4351  
        8.98      0.1317      0.3279      0.0443      0.0178       0.043       0.341       0.593      32.293       0.039       2.639       8.332        0.29      77220.    0.4184  
        9.97      0.1463      0.3556      0.0428      0.0176       0.043       0.338       0.573      31.956       0.038       2.549       8.133        0.29      77261.    0.4014  
       10.97      0.1609      0.3815      0.0412      0.0174       0.042       0.333       0.552      31.546       0.038       2.453       7.931        0.29      77304.    0.3840  
       11.97      0.1756      0.4054      0.0395      0.0171       0.042       0.328       0.529      31.058       0.037       2.353       7.725        0.29      77348.    0.3663  
       12.97      0.1902      0.4272      0.0377      0.0168       0.041       0.322       0.505      30.487       0.036       2.247       7.515        0.29      77395.    0.3482  
       13.96      0.2048      0.4469      0.0359      0.0164       0.040       0.315       0.480      29.828       0.036       2.135       7.300        0.29      77444.    0.3297  
       14.96      0.2194      0.4643      0.0339      0.0160       0.039       0.307       0.454      29.078       0.035       2.018       7.078        0.29      77496.    0.3109  
       15.96      0.2341      0.4792      0.0319      0.0156       0.038       0.298       0.426      28.236       0.034       1.897       6.849        0.29      77549.    0.2916  
       16.96      0.2487      0.4914      0.0297      0.0150       0.037       0.288       0.398      27.303       0.033       1.770       6.611        0.29      77604.    0.2719  
       17.95      0.2633      0.5007      0.0275      0.0145       0.035       0.278       0.369      26.281       0.031       1.639       6.361        0.29      77662.    0.2518  
       18.95      0.2780      0.5066      0.0253      0.0139       0.034       0.266       0.338      25.172       0.030       1.505       6.097        0.29      77721.    0.2312  
       19.95      0.2926      0.5086      0.0230      0.0132       0.032       0.253       0.307      23.977       0.029       1.367       5.815        0.29      77783.    0.2102  
       20.95      0.3072      0.5061      0.0206      0.0125       0.030       0.240       0.276      22.696       0.027       1.227       5.511        0.29      77847.    0.1887  
       21.94      0.3219      0.4981      0.0182      0.0118       0.029       0.225       0.243      21.326       0.025       1.083       5.178        0.29      77914.    0.1666  
       22.94      0.3365      0.4833      0.0157      0.0110       0.027       0.210       0.210      19.867       0.024       0.936       4.805        0.29      77982.    0.1437  
       23.94      0.3511      0.4597      0.0132      0.0101       0.025       0.194       0.177      18.318       0.022       0.787       4.380        0.29      78053.    0.1201  
       24.94      0.3657      0.4244      0.0107      0.0092       0.022       0.176       0.143      16.675       0.020       0.635       3.882        0.29      78126.    0.0956  
       25.93      0.3804      0.3726      0.0081      0.0082       0.020       0.158       0.108      14.937       0.018       0.480       3.277        0.29      78202.    0.0702  
       26.93      0.3950      0.2967      0.0054      0.0072       0.018       0.138       0.073      13.102       0.016       0.323       2.513        0.29      78280.    0.0441  
       27.93      0.4096      0.1825      0.0027      0.0062       0.015       0.118       0.037      11.169       0.013       0.163       1.491        0.29      78360.    0.0186  
       28.93      0.4243      0.0014      0.0000      0.0050       0.012       0.096       0.000       9.132       0.011       0.001       0.011        0.29      78442.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       9000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0546      0.0181       0.063       0.438       0.924      46.642       0.049       4.110       8.986        0.32      86554.    0.5632  
        1.12      0.0146      0.0434      0.0537      0.0181       0.063       0.439       0.910      46.741       0.050       4.047       8.829        0.32      86581.    0.5490  
        2.24      0.0293      0.0853      0.0528      0.0181       0.063       0.440       0.894      46.804       0.050       3.979       8.668        0.32      86611.    0.5345  
        3.37      0.0439      0.1256      0.0518      0.0181       0.063       0.440       0.878      46.826       0.050       3.906       8.505        0.32      86642.    0.5196  
        4.49      0.0585      0.1641      0.0508      0.0181       0.063       0.440       0.860      46.800       0.050       3.827       8.339        0.32      86675.    0.5043  
        5.61      0.0732      0.2010      0.0497      0.0181       0.063       0.439       0.842      46.718       0.050       3.744       8.172        0.32      86710.    0.4888  
        6.73      0.0878      0.2362      0.0485      0.0180       0.062       0.437       0.822      46.573       0.049       3.655       8.002        0.32      86747.    0.4729  
        7.86      0.1024      0.2697      0.0473      0.0179       0.062       0.435       0.800      46.357       0.049       3.559       7.830        0.32      86787.    0.4566  
        8.98      0.1171      0.3014      0.0459      0.0178       0.062       0.433       0.777      46.063       0.049       3.458       7.656        0.32      86828.    0.4401  
       10.10      0.1317      0.3312      0.0445      0.0177       0.061       0.429       0.753      45.682       0.048       3.351       7.479        0.32      86872.    0.4232  
       11.22      0.1463      0.3592      0.0430      0.0175       0.061       0.425       0.728      45.205       0.048       3.236       7.301        0.32      86918.    0.4060  
       12.35      0.1610      0.3854      0.0414      0.0173       0.060       0.419       0.700      44.623       0.047       3.116       7.120        0.32      86966.    0.3885  
       13.47      0.1756      0.4095      0.0397      0.0170       0.059       0.413       0.672      43.930       0.047       2.988       6.935        0.32      87017.    0.3706  
       14.59      0.1902      0.4316      0.0379      0.0167       0.058       0.405       0.641      43.117       0.046       2.853       6.748        0.32      87070.    0.3523  
       15.71      0.2049      0.4516      0.0360      0.0163       0.057       0.396       0.610      42.179       0.045       2.712       6.556        0.32      87125.    0.3337  
       16.84      0.2195      0.4693      0.0340      0.0159       0.055       0.386       0.576      41.111       0.044       2.563       6.358        0.32      87182.    0.3147  
       17.96      0.2341      0.4845      0.0320      0.0155       0.054       0.375       0.541      39.911       0.042       2.408       6.154        0.32      87242.    0.2952  
       19.08      0.2488      0.4970      0.0298      0.0149       0.052       0.362       0.505      38.580       0.041       2.248       5.941        0.32      87305.    0.2753  
       20.20      0.2634      0.5065      0.0276      0.0144       0.050       0.349       0.468      37.122       0.039       2.082       5.719        0.32      87369.    0.2551  
       21.33      0.2780      0.5127      0.0254      0.0138       0.048       0.334       0.430      35.540       0.038       1.911       5.484        0.32      87437.    0.2344  
       22.45      0.2927      0.5150      0.0231      0.0131       0.045       0.318       0.390      33.835       0.036       1.736       5.233        0.32      87506.    0.2132  
       23.57      0.3073      0.5128      0.0207      0.0124       0.043       0.301       0.350      32.006       0.034       1.558       4.963        0.32      87578.    0.1915  
       24.69      0.3219      0.5051      0.0183      0.0116       0.040       0.282       0.309      30.050       0.032       1.375       4.666        0.32      87653.    0.1692  
       25.82      0.3366      0.4906      0.0158      0.0108       0.038       0.263       0.267      27.967       0.030       1.189       4.335        0.32      87730.    0.1461  
       26.94      0.3512      0.4672      0.0133      0.0100       0.035       0.242       0.225      25.753       0.027       0.999       3.956        0.32      87810.    0.1222  
       28.06      0.3658      0.4320      0.0107      0.0091       0.031       0.220       0.181      23.406       0.025       0.806       3.512        0.32      87892.    0.0975  
       29.18      0.3805      0.3801      0.0081      0.0081       0.028       0.196       0.137      20.923       0.022       0.610       2.971        0.32      87977.    0.0717  
       30.31      0.3951      0.3035      0.0054      0.0071       0.025       0.172       0.092      18.301       0.019       0.410       2.284        0.32      88065.    0.0452  
       31.43      0.4097      0.1874      0.0028      0.0060       0.021       0.146       0.047      15.537       0.016       0.207       1.360        0.32      88155.    0.0191  
       32.55      0.4244      0.0013      0.0000      0.0049       0.017       0.119       0.000      12.625       0.013       0.001       0.009        0.32      88247.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =      10000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0547      0.0180       0.085       0.538       1.145      63.639       0.061       5.091       8.158        0.36      96170.    0.5690  
        1.25      0.0146      0.0438      0.0539      0.0180       0.086       0.539       1.127      63.780       0.061       5.013       8.014        0.36      96200.    0.5547  
        2.49      0.0293      0.0861      0.0530      0.0180       0.086       0.540       1.108      63.873       0.061       4.929       7.868        0.36      96233.    0.5400  
        3.74      0.0439      0.1267      0.0520      0.0180       0.086       0.540       1.088      63.909       0.061       4.838       7.720        0.36      96268.    0.5249  
        4.99      0.0585      0.1656      0.0510      0.0180       0.086       0.540       1.066      63.878       0.061       4.742       7.569        0.36      96305.    0.5095  
        6.24      0.0732      0.2028      0.0499      0.0180       0.086       0.539       1.043      63.770       0.061       4.638       7.417        0.36      96344.    0.4938  
        7.48      0.0878      0.2383      0.0487      0.0179       0.085       0.537       1.018      63.576       0.061       4.528       7.263        0.36      96385.    0.4777  
        8.73      0.1025      0.2720      0.0474      0.0179       0.085       0.535       0.992      63.284       0.060       4.410       7.106        0.36      96429.    0.4613  
        9.98      0.1171      0.3040      0.0461      0.0177       0.084       0.532       0.963      62.883       0.060       4.285       6.949        0.36      96475.    0.4446  
       11.23      0.1317      0.3341      0.0446      0.0176       0.084       0.527       0.933      62.362       0.060       4.152       6.789        0.36      96524.    0.4276  
       12.47      0.1464      0.3624      0.0431      0.0174       0.083       0.522       0.902      61.709       0.059       4.010       6.627        0.36      96575.    0.4103  
       13.72      0.1610      0.3888      0.0415      0.0172       0.082       0.515       0.868      60.913       0.058       3.861       6.463        0.36      96629.    0.3926  
       14.97      0.1756      0.4132      0.0398      0.0169       0.080       0.507       0.832      59.961       0.057       3.703       6.297        0.36      96685.    0.3745  
       16.22      0.1903      0.4356      0.0380      0.0166       0.079       0.497       0.795      58.845       0.056       3.536       6.127        0.36      96744.    0.3561  
       17.46      0.2049      0.4558      0.0361      0.0162       0.077       0.486       0.755      57.556       0.055       3.360       5.953        0.36      96805.    0.3374  
       18.71      0.2196      0.4737      0.0342      0.0158       0.075       0.474       0.714      56.089       0.054       3.177       5.775        0.36      96869.    0.3182  
       19.96      0.2342      0.4892      0.0321      0.0154       0.073       0.460       0.671      54.439       0.052       2.985       5.591        0.36      96936.    0.2986  
       21.21      0.2488      0.5020      0.0300      0.0148       0.071       0.445       0.626      52.608       0.050       2.785       5.399        0.36      97005.    0.2786  
       22.45      0.2635      0.5118      0.0277      0.0143       0.068       0.428       0.580      50.602       0.048       2.580       5.199        0.36      97077.    0.2581  
       23.70      0.2781      0.5182      0.0255      0.0137       0.065       0.409       0.532      48.426       0.046       2.369       4.987        0.36      97152.    0.2373  
       24.95      0.2927      0.5209      0.0231      0.0130       0.062       0.389       0.484      46.079       0.044       2.152       4.762        0.36      97229.    0.2159  
       26.20      0.3074      0.5189      0.0208      0.0123       0.058       0.368       0.434      43.560       0.042       1.930       4.519        0.36      97310.    0.1941  
       27.44      0.3220      0.5115      0.0183      0.0115       0.055       0.345       0.383      40.868       0.039       1.704       4.252        0.36      97393.    0.1716  
       28.69      0.3366      0.4973      0.0158      0.0107       0.051       0.321       0.331      38.000       0.036       1.473       3.953        0.36      97479.    0.1483  
       29.94      0.3513      0.4741      0.0133      0.0099       0.047       0.295       0.278      34.951       0.033       1.238       3.612        0.36      97567.    0.1242  
       31.19      0.3659      0.4390      0.0107      0.0090       0.043       0.268       0.225      31.718       0.030       0.999       3.211        0.36      97659.    0.0992  
       32.43      0.3806      0.3870      0.0081      0.0080       0.038       0.239       0.170      28.297       0.027       0.755       2.722        0.36      97753.    0.0731  
       33.68      0.3952      0.3097      0.0055      0.0070       0.033       0.209       0.114      24.685       0.024       0.508       2.098        0.36      97851.    0.0462  
       34.93      0.4098      0.1918      0.0028      0.0059       0.028       0.176       0.058      20.877       0.020       0.257       1.253        0.36      97951.    0.0196  
       36.18      0.4245      0.0010      0.0000      0.0048       0.023       0.143       0.000      16.864       0.016       0.001       0.006        0.36      98053.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =      11000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0549      0.0179       0.113       0.648       1.390      84.380       0.073       6.183       7.472        0.39     105785.    0.5743  
        1.37      0.0146      0.0442      0.0541      0.0179       0.113       0.650       1.369      84.576       0.073       6.088       7.340        0.39     105819.    0.5599  
        2.74      0.0293      0.0867      0.0532      0.0180       0.114       0.651       1.346      84.707       0.074       5.986       7.206        0.39     105855.    0.5450  
        4.12      0.0439      0.1276      0.0522      0.0180       0.114       0.651       1.321      84.761       0.074       5.877       7.070        0.39     105893.    0.5298  
        5.49      0.0586      0.1668      0.0512      0.0180       0.114       0.651       1.295      84.726       0.074       5.760       6.932        0.39     105934.    0.5143  
        6.86      0.0732      0.2043      0.0501      0.0179       0.113       0.650       1.267      84.588       0.073       5.635       6.792        0.39     105977.    0.4984  
        8.23      0.0878      0.2401      0.0489      0.0179       0.113       0.648       1.237      84.334       0.073       5.501       6.651        0.39     106023.    0.4822  
        9.61      0.1025      0.2741      0.0476      0.0178       0.113       0.645       1.205      83.948       0.073       5.358       6.508        0.39     106071.    0.4657  
       10.98      0.1171      0.3063      0.0463      0.0177       0.112       0.641       1.170      83.417       0.072       5.206       6.364        0.39     106122.    0.4489  
       12.35      0.1318      0.3367      0.0448      0.0175       0.111       0.636       1.134      82.725       0.072       5.044       6.218        0.39     106175.    0.4317  
       13.72      0.1464      0.3652      0.0433      0.0174       0.110       0.629       1.095      81.857       0.071       4.873       6.070        0.39     106232.    0.4142  
       15.10      0.1610      0.3918      0.0417      0.0171       0.108       0.621       1.055      80.795       0.070       4.691       5.920        0.39     106291.    0.3964  
       16.47      0.1757      0.4165      0.0400      0.0169       0.107       0.611       1.011      79.527       0.069       4.499       5.768        0.39     106353.    0.3782  
       17.84      0.1903      0.4391      0.0382      0.0165       0.105       0.600       0.966      78.037       0.068       4.296       5.614        0.39     106418.    0.3597  
       19.21      0.2050      0.4596      0.0363      0.0162       0.102       0.586       0.918      76.317       0.066       4.083       5.456        0.39     106485.    0.3408  
       20.59      0.2196      0.4777      0.0343      0.0158       0.100       0.571       0.868      74.358       0.065       3.860       5.293        0.39     106556.    0.3215  
       21.96      0.2342      0.4934      0.0322      0.0153       0.097       0.554       0.815      72.154       0.063       3.627       5.126        0.39     106629.    0.3018  
       23.33      0.2489      0.5065      0.0301      0.0148       0.093       0.536       0.761      69.708       0.061       3.385       4.951        0.39     106706.    0.2816  
       24.70      0.2635      0.5165      0.0279      0.0142       0.090       0.515       0.705      67.028       0.058       3.135       4.769        0.39     106785.    0.2610  
       26.08      0.2782      0.5233      0.0256      0.0136       0.086       0.493       0.647      64.119       0.056       2.878       4.577        0.39     106867.    0.2400  
       27.45      0.2928      0.5262      0.0232      0.0129       0.082       0.469       0.588      60.982       0.053       2.615       4.372        0.39     106953.    0.2186  
       28.82      0.3074      0.5245      0.0208      0.0122       0.077       0.443       0.527      57.616       0.050       2.346       4.151        0.39     107041.    0.1965  
       30.19      0.3221      0.5174      0.0184      0.0115       0.072       0.415       0.466      54.017       0.047       2.071       3.909        0.39     107132.    0.1739  
       31.57      0.3367      0.5034      0.0159      0.0106       0.067       0.386       0.402      50.182       0.044       1.790       3.638        0.39     107227.    0.1505  
       32.94      0.3514      0.4805      0.0134      0.0098       0.062       0.354       0.338      46.105       0.040       1.504       3.327        0.40     107324.    0.1262  
       34.31      0.3660      0.4455      0.0108      0.0089       0.056       0.321       0.273      41.783       0.036       1.214       2.962        0.40     107425.    0.1009  
       35.68      0.3806      0.3934      0.0082      0.0079       0.050       0.286       0.206      37.209       0.032       0.918       2.515        0.40     107529.    0.0745  
       37.06      0.3953      0.3157      0.0055      0.0069       0.043       0.249       0.139      32.378       0.028       0.617       1.943        0.40     107636.    0.0472  
       38.43      0.4099      0.1962      0.0028      0.0058       0.037       0.210       0.070      27.286       0.024       0.312       1.164        0.40     107747.    0.0201  
       39.80      0.4246      0.0009      0.0000      0.0046       0.029       0.168       0.000      21.918       0.019       0.001       0.005        0.40     107859.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =      12000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0552      0.0178       0.147       0.770       1.661     109.281       0.087       7.388       6.894        0.43     115400.    0.5792  
        1.50      0.0146      0.0445      0.0543      0.0179       0.147       0.772       1.636     109.545       0.087       7.275       6.772        0.43     115437.    0.5647  
        3.00      0.0293      0.0873      0.0534      0.0179       0.147       0.773       1.608     109.724       0.087       7.154       6.648        0.43     115476.    0.5497  
        4.49      0.0439      0.1285      0.0524      0.0179       0.147       0.773       1.579     109.802       0.087       7.024       6.523        0.43     115518.    0.5344  
        5.99      0.0586      0.1680      0.0514      0.0179       0.147       0.773       1.548     109.763       0.087       6.884       6.395        0.43     115563.    0.5187  
        7.49      0.0732      0.2057      0.0503      0.0179       0.147       0.772       1.514     109.589       0.087       6.735       6.267        0.43     115610.    0.5027  
        8.99      0.0879      0.2417      0.0491      0.0178       0.147       0.770       1.478     109.263       0.087       6.575       6.136        0.43     115660.    0.4864  
       10.48      0.1025      0.2760      0.0478      0.0178       0.146       0.766       1.440     108.766       0.087       6.405       6.005        0.43     115712.    0.4698  
       11.98      0.1171      0.3084      0.0465      0.0177       0.145       0.761       1.399     108.077       0.086       6.223       5.872        0.43     115768.    0.4528  
       13.48      0.1318      0.3390      0.0450      0.0175       0.144       0.755       1.356     107.178       0.085       6.030       5.737        0.43     115827.    0.4355  
       14.98      0.1464      0.3678      0.0435      0.0173       0.142       0.747       1.310     106.048       0.084       5.825       5.601        0.43     115888.    0.4179  
       16.47      0.1611      0.3946      0.0419      0.0171       0.140       0.737       1.261     104.666       0.083       5.608       5.464        0.43     115953.    0.4000  
       17.97      0.1757      0.4195      0.0402      0.0168       0.138       0.726       1.209     103.013       0.082       5.379       5.324        0.43     116021.    0.3817  
       19.47      0.1904      0.4423      0.0384      0.0165       0.136       0.712       1.155     101.071       0.080       5.136       5.182        0.43     116091.    0.3631  
       20.97      0.2050      0.4630      0.0365      0.0161       0.133       0.696       1.098      98.828       0.079       4.882       5.037        0.43     116165.    0.3440  
       22.46      0.2196      0.4814      0.0345      0.0157       0.129       0.678       1.038      96.273       0.077       4.615       4.888        0.43     116242.    0.3246  
       23.96      0.2343      0.4973      0.0324      0.0153       0.125       0.658       0.975      93.398       0.074       4.336       4.734        0.43     116323.    0.3048  
       25.46      0.2489      0.5106      0.0302      0.0147       0.121       0.635       0.910      90.206       0.072       4.047       4.575        0.43     116406.    0.2845  
       26.96      0.2636      0.5209      0.0280      0.0142       0.116       0.611       0.843      86.709       0.069       3.748       4.408        0.43     116493.    0.2638  
       28.45      0.2782      0.5279      0.0257      0.0135       0.111       0.584       0.774      82.913       0.066       3.441       4.232        0.43     116583.    0.2427  
       29.95      0.2929      0.5311      0.0233      0.0129       0.106       0.555       0.703      78.820       0.063       3.126       4.045        0.43     116676.    0.2211  
       31.45      0.3075      0.5297      0.0209      0.0122       0.100       0.524       0.630      74.427       0.059       2.804       3.842        0.43     116772.    0.1989  
       32.95      0.3222      0.5229      0.0185      0.0114       0.094       0.491       0.557      69.730       0.055       2.475       3.620        0.43     116872.    0.1761  
       34.44      0.3368      0.5091      0.0160      0.0106       0.087       0.456       0.481      64.725       0.052       2.140       3.372        0.43     116975.    0.1525  
       35.94      0.3514      0.4864      0.0134      0.0097       0.080       0.418       0.404      59.404       0.047       1.798       3.087        0.43     117082.    0.1280  
       37.44      0.3661      0.4516      0.0108      0.0088       0.072       0.379       0.326      53.762       0.043       1.451       2.751        0.43     117192.    0.1024  
       38.94      0.3807      0.3995      0.0082      0.0078       0.064       0.337       0.247      47.792       0.038       1.097       2.340        0.43     117305.    0.0758  
       40.44      0.3954      0.3212      0.0055      0.0068       0.056       0.292       0.166      41.487       0.033       0.737       1.812        0.43     117422.    0.0481  
       41.93      0.4100      0.2001      0.0028      0.0057       0.047       0.245       0.084      34.840       0.028       0.372       1.089        0.43     117543.    0.0205  
       43.43      0.4247      0.0004      0.0000      0.0045       0.037       0.196       0.000      27.832       0.022       0.001       0.002        0.43     117666.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =      13000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0554      0.0178       0.186       0.902       1.958     138.777       0.102       8.709       6.399        0.46     125014.    0.5838  
        1.62      0.0146      0.0447      0.0546      0.0179       0.187       0.905       1.928     139.125       0.102       8.577       6.286        0.46     125054.    0.5691  
        3.25      0.0293      0.0878      0.0537      0.0179       0.187       0.906       1.896     139.363       0.102       8.434       6.171        0.46     125097.    0.5540  
        4.87      0.0439      0.1292      0.0527      0.0179       0.187       0.907       1.862     139.472       0.102       8.281       6.055        0.46     125143.    0.5386  
        6.49      0.0586      0.1689      0.0516      0.0179       0.187       0.907       1.825     139.429       0.102       8.118       5.937        0.46     125191.    0.5229  
        8.11      0.0732      0.2069      0.0505      0.0179       0.187       0.905       1.786     139.214       0.102       7.942       5.817        0.46     125242.    0.5068  
        9.74      0.0879      0.2431      0.0493      0.0178       0.186       0.902       1.743     138.803       0.102       7.754       5.697        0.46     125296.    0.4904  
       11.36      0.1025      0.2776      0.0481      0.0177       0.185       0.898       1.698     138.172       0.101       7.554       5.575        0.46     125354.    0.4736  
       12.98      0.1172      0.3102      0.0467      0.0176       0.184       0.893       1.650     137.297       0.101       7.340       5.452        0.46     125414.    0.4566  
       14.60      0.1318      0.3411      0.0453      0.0175       0.183       0.885       1.599     136.151       0.100       7.113       5.327        0.46     125478.    0.4392  
       16.23      0.1465      0.3700      0.0437      0.0173       0.181       0.876       1.545     134.708       0.099       6.871       5.201        0.46     125544.    0.4215  
       17.85      0.1611      0.3971      0.0421      0.0171       0.178       0.864       1.487     132.944       0.098       6.615       5.074        0.46     125615.    0.4035  
       19.47      0.1757      0.4221      0.0404      0.0168       0.175       0.851       1.426     130.831       0.096       6.345       4.945        0.46     125688.    0.3851  
       21.09      0.1904      0.4452      0.0386      0.0165       0.172       0.834       1.362     128.350       0.094       6.059       4.814        0.46     125765.    0.3663  
       22.72      0.2050      0.4661      0.0366      0.0161       0.168       0.816       1.295     125.481       0.092       5.759       4.680        0.47     125845.    0.3472  
       24.34      0.2197      0.4847      0.0346      0.0157       0.164       0.795       1.224     122.215       0.090       5.444       4.543        0.47     125929.    0.3277  
       25.96      0.2343      0.5009      0.0325      0.0152       0.159       0.771       1.150     118.538       0.087       5.116       4.401        0.47     126016.    0.3077  
       27.58      0.2490      0.5144      0.0304      0.0147       0.153       0.744       1.073     114.457       0.084       4.774       4.254        0.47     126106.    0.2873  
       29.21      0.2636      0.5250      0.0281      0.0141       0.147       0.715       0.994     109.985       0.081       4.422       4.100        0.47     126200.    0.2665  
       30.83      0.2783      0.5322      0.0258      0.0135       0.141       0.684       0.913     105.131       0.077       4.060       3.938        0.47     126298.    0.2453  
       32.45      0.2929      0.5357      0.0235      0.0128       0.134       0.649       0.829      99.896       0.073       3.689       3.765        0.47     126399.    0.2235  
       34.08      0.3076      0.5346      0.0211      0.0121       0.126       0.613       0.744      94.278       0.069       3.309       3.579        0.47     126503.    0.2012  
       35.70      0.3222      0.5280      0.0186      0.0113       0.118       0.574       0.657      88.272       0.065       2.921       3.374        0.47     126611.    0.1783  
       37.32      0.3368      0.5146      0.0161      0.0105       0.110       0.532       0.568      81.872       0.060       2.525       3.145        0.47     126723.    0.1545  
       38.94      0.3515      0.4921      0.0135      0.0096       0.101       0.488       0.477      75.068       0.055       2.122       2.883        0.47     126839.    0.1298  
       40.57      0.3661      0.4575      0.0109      0.0087       0.091       0.441       0.385      67.854       0.050       1.712       2.572        0.47     126958.    0.1040  
       42.19      0.3808      0.4054      0.0082      0.0077       0.081       0.392       0.291      60.220       0.044       1.294       2.192        0.47     127081.    0.0771  
